,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.97417,-165.19034,1987,snow crab,22300,3000,342900,1435,18,3429018,560,32.5,25.0,95,993505,200
1,54.97775,-165.76184,1987,snow crab,57018,4200,411480,1893,23,4114823,780,40.8,24.6,222,1192206,516
2,55.00658,-166.94367,1987,snow crab,28515,4200,205740,219,11,2057411,465,21.299999999999997,11.100000000000001,111,596103,264
3,55.01117,-166.32025,1987,snow crab,17952,3200,274320,730,20,2743220,576,0.0,17.2,76,794804,272
4,55.3195,-165.78892,1987,snow crab,28506,5400,205740,219,13,2057413,363,21.6,13.200000000000001,111,596103,255
5,55.32634,-165.16809,1987,snow crab,26766,5400,411480,2012,23,4114823,672,38.4,27.6,114,1192206,246
6,55.32817,-167.5555,1987,snow crab,26934,7800,411480,435,23,4114823,900,0.0,20.4,114,1192206,414
7,55.34025,-164.5815,1987,snow crab,56856,7200,411480,4787,23,4114823,606,38.4,31.2,222,1192206,354
8,55.34525,-166.96084,1987,snow crab,38024,6800,274320,1548,20,2743220,556,28.0,17.2,148,794804,356
9,55.3455,-166.34217,1987,snow crab,26922,10800,411480,915,23,4114823,804,0.0,26.4,114,1192206,402
10,55.36617,-163.44634,1987,snow crab,47375,3500,342900,672,18,3429018,265,31.5,25.0,185,993505,290
11,55.37808,-163.99267,1987,snow crab,13374,3000,205740,228,15,2057415,264,19.200000000000003,13.5,57,596103,114
12,55.65334,-165.16342,1987,snow crab,17848,4800,274320,1065,20,2743220,440,26.0,16.8,76,794804,168
13,55.66317,-165.83109,1987,snow crab,57006,9000,411480,1475,23,4114823,690,40.8,27.0,222,1192206,504
14,55.665,-163.40267,1987,snow crab,56844,10200,411480,2098,23,4114823,474,42.6,25.2,222,1192206,342
15,55.66692,-167.58542,1987,snow crab,17960,6400,274320,248,20,2743220,540,0.0,17.2,76,794804,280
16,55.669,-164.58275,1987,snow crab,37908,4800,274320,3164,20,2743220,380,25.2,17.6,148,794804,240
17,55.67275,-164.01092,1987,snow crab,17828,2800,274320,2043,20,2743220,380,24.8,16.4,76,794804,148
18,55.67317,-166.38975,1987,snow crab,17944,6000,274320,532,20,2743220,504,0.0,17.6,76,794804,264
19,55.68292,-166.968,1987,snow crab,47535,3000,342900,805,21,3429021,670,35.0,21.5,185,993505,450
20,55.70033,-168.1665,1987,snow crab,47870,5500,342900,694,18,3429018,675,40.5,22.5,185,993505,785
21,55.99125,-165.817,1987,snow crab,47500,6500,342900,335,28,3429028,540,34.0,20.5,185,993505,415
22,55.99517,-165.17067,1987,snow crab,26778,9000,411480,722,23,4114823,582,38.4,24.6,114,1192206,258
23,55.99908,-162.81333,1987,snow crab,26634,3600,411480,1505,23,4114823,480,37.8,21.6,114,1192206,114
24,56.00042,-163.40825,1987,snow crab,56838,9000,411480,1682,23,4114823,516,40.2,23.4,222,1192206,336
25,56.00175,-164.57775,1987,snow crab,56868,8400,411480,979,23,4114823,546,35.4,24.0,222,1192206,366
26,56.00475,-167.62884,1987,snow crab,17964,2400,274320,592,20,2743220,536,0.0,17.2,76,794804,284
27,56.00992,-168.20234,1987,snow crab,47875,7000,342900,1569,21,3429021,750,46.0,21.0,185,993505,790
28,56.01075,-164.00809,1987,snow crab,26736,10800,411480,1168,23,4114823,540,38.4,23.4,114,1192206,216
29,56.025,-162.26167,1987,snow crab,47260,3500,342900,956,21,3429021,350,28.5,20.5,185,993505,175
30,56.04725,-167.0115,1987,snow crab,28524,2700,205740,189,13,2057413,396,20.700000000000003,12.899999999999999,111,596103,273
31,56.32117,-165.19259,1987,snow crab,26784,10200,411480,1659,23,4114823,528,34.8,19.8,114,1192206,264
32,56.32875,-165.81309,1987,snow crab,75992,7200,548640,1488,38,5486438,720,50.39999999999999,35.199999999999996,296,1589608,656
33,56.33034,-167.64984,1987,snow crab,17968,3600,274320,741,20,2743220,528,0.0,17.2,76,794804,288
34,56.333,-161.619,1987,snow crab,13311,2700,205740,225,11,2057411,204,18.0,11.7,57,596103,51
35,56.3335,-163.39417,1987,snow crab,37888,4800,274320,814,20,2743220,336,22.8,14.4,148,794804,220
