,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.7075,-165.11442,1986,snow crab,43728,6000,274320,300,20,2743220,336,22.4,18.4,228,794408,248
1,54.99508,-166.34875,1986,snow crab,43732,2400,274320,788,20,2743220,592,24.8,15.2,228,794408,252
2,55.00267,-165.14767,1986,snow crab,65586,7200,411480,1769,23,4114823,690,33.6,26.4,342,1191612,366
3,55.00509,-165.74575,1986,snow crab,55950,6600,411480,3270,23,4114823,768,37.8,24.6,222,1191606,306
4,55.31925,-166.3565,1986,snow crab,65604,5400,411480,747,23,4114823,822,39.0,21.6,342,1191612,384
5,55.32225,-166.96983,1986,snow crab,28017,3000,205740,207,13,2057413,417,20.1,11.100000000000001,111,595803,195
6,55.32725,-165.77292,1986,snow crab,55956,8400,411480,807,23,4114823,714,40.8,25.2,222,1191606,312
7,55.32884,-165.16959,1986,snow crab,65580,5400,411480,2431,23,4114823,678,34.8,25.8,342,1191612,360
8,55.33517,-164.55359,1986,snow crab,55938,7800,411480,12676,23,4114823,606,34.8,23.4,222,1191606,294
9,55.34992,-164.00775,1986,snow crab,65430,10800,411480,998,23,4114823,462,25.8,15.6,342,1191612,210
10,55.35433,-163.43525,1986,snow crab,55794,9600,411480,3556,23,4114823,294,0.0,0.0,222,1191606,150
11,55.65459,-164.54675,1986,snow crab,55932,6600,411480,2828,23,4114823,570,34.2,18.0,222,1191606,288
12,55.65509,-162.85567,1986,snow crab,65424,6600,411480,4212,23,4114823,318,28.8,18.0,342,1191612,204
13,55.66267,-165.18434,1986,snow crab,65574,3600,411480,7046,23,4114823,672,37.2,22.8,342,1191612,354
14,55.6685,-165.78358,1986,snow crab,55962,9600,411480,737,23,4114823,702,42.0,24.6,222,1191606,318
15,55.67259,-167.57708,1986,snow crab,54740,4500,342900,738,21,3429021,705,32.0,19.0,285,993010,390
16,55.67375,-166.40342,1986,snow crab,65610,7200,411480,793,23,4114823,780,39.6,32.4,342,1191612,390
17,55.68475,-163.40567,1986,snow crab,55800,11400,411480,2252,23,4114823,474,27.6,15.0,222,1191606,156
18,55.69125,-164.02942,1986,snow crab,65436,3600,411480,2747,23,4114823,594,28.8,12.0,342,1191612,216
19,55.98467,-167.60317,1986,snow crab,65682,3600,411480,1178,35,4114835,834,37.8,22.2,342,1191612,462
20,55.98533,-164.01717,1986,snow crab,65442,5400,411480,3763,23,4114823,570,28.2,9.6,342,1191612,222
21,55.98742,-164.47917,1986,snow crab,55926,4800,411480,8012,23,4114823,546,32.4,12.6,222,1191606,282
22,55.99767,-167.00192,1986,snow crab,28011,5400,205740,231,13,2057413,405,19.799999999999997,11.399999999999999,111,595803,189
23,55.99917,-165.20384,1986,snow crab,65568,10800,411480,4619,23,4114823,606,34.8,16.8,342,1191612,348
24,56.0,-162.25967,1986,snow crab,55788,6000,411480,790,23,4114823,420,25.2,16.8,222,1191606,144
25,56.00275,-162.82667,1986,snow crab,65418,5400,411480,1931,23,4114823,492,28.2,11.4,342,1191612,198
26,56.01275,-166.39059,1986,snow crab,65616,8400,411480,1589,23,4114823,768,39.0,21.6,342,1191612,396
27,56.01784,-163.38475,1986,snow crab,55806,4200,411480,6137,23,4114823,528,28.8,13.8,222,1191606,162
28,56.02142,-165.79858,1986,snow crab,55968,4200,411480,1372,23,4114823,636,39.0,22.2,222,1191606,324
29,56.32109,-167.63067,1986,snow crab,43784,6800,274320,576,20,2743220,536,24.8,15.2,228,794408,304
30,56.32183,-170.07092,1986,snow crab,33006,2700,205740,642,11,2057411,339,23.700000000000003,9.899999999999999,171,595806,396
31,56.32508,-162.78925,1986,snow crab,43608,2400,274320,1796,20,2743220,328,17.2,7.2,228,794408,128
32,56.32559,-162.20734,1986,snow crab,55782,4200,411480,1326,23,4114823,450,24.0,13.8,222,1191606,138
33,56.32567,-165.21675,1986,snow crab,87416,12000,548640,2996,38,5486438,728,44.800000000000004,0.0,456,1588816,456
34,56.32609,-167.03517,1986,snow crab,56016,9000,411480,940,23,4114823,678,38.4,19.8,222,1191606,372
35,56.33242,-166.41667,1986,snow crab,65622,10200,411480,1618,23,4114823,660,37.2,12.0,342,1191612,402
36,56.33292,-164.57717,1986,snow crab,55920,10200,411480,5370,23,4114823,516,33.0,9.6,222,1191606,276
37,56.33884,-165.82325,1986,snow crab,55974,6000,411480,3440,23,4114823,540,32.4,7.2,222,1191606,330
