,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.693,-165.155,1983,snow crab,52260,3600,411480,44114,23,4114823,504,41.4,31.8,222,1189806,252
1,54.99067,-166.94733,1983,snow crab,6055,6000,342900,1468,18,3429018,795,45.0,21.0,5,991515,375
2,54.997,-165.7765,1983,snow crab,7206,5400,411480,2451,23,4114823,804,46.2,24.0,6,1189818,390
3,55.001,-165.15184,1983,snow crab,52266,5400,411480,8282,23,4114823,678,48.6,26.4,222,1189806,258
4,55.00617,-166.33859,1983,snow crab,26217,3300,205740,567,11,2057411,444,24.299999999999997,12.600000000000001,111,594903,213
5,55.0485,-164.51983,1983,snow crab,3519,2100,205740,240,11,2057411,186,21.6,17.1,3,594909,111
6,55.33108,-163.99742,1983,snow crab,3510,3000,205740,888,11,2057411,246,24.900000000000002,14.700000000000001,3,594909,102
7,55.33434,-165.155,1983,snow crab,52272,6600,411480,3610,23,4114823,690,42.6,27.0,222,1189806,264
8,55.33534,-164.58167,1983,snow crab,7044,6000,411480,3293,23,4114823,624,55.2,27.6,6,1189818,228
9,55.33617,-167.54434,1983,snow crab,34984,3600,274320,639,15,2743215,616,35.6,16.4,148,793204,312
10,55.33817,-166.987,1983,snow crab,6050,4000,342900,648,18,3429018,715,45.0,21.0,5,991515,370
11,55.33825,-166.33667,1983,snow crab,52428,4200,411480,1068,30,4114830,822,46.8,25.2,222,1189806,420
12,55.34025,-163.4235,1983,snow crab,7014,3600,411480,7310,23,4114823,318,51.0,22.2,6,1189818,198
13,55.34583,-165.79617,1983,snow crab,4800,2400,274320,1257,15,2743215,492,30.0,17.6,4,793212,256
14,55.65925,-164.02117,1983,snow crab,7026,7800,411480,5177,23,4114823,594,53.4,19.8,6,1189818,210
15,55.66417,-162.84,1983,snow crab,43450,8000,342900,2304,18,3429018,255,0.0,17.5,185,991505,110
16,55.66467,-163.40825,1983,snow crab,7008,9600,411480,3668,23,4114823,492,55.8,18.6,6,1189818,192
17,55.66609,-166.99392,1983,snow crab,4836,6000,274320,838,15,2743215,548,40.0,16.4,4,793212,292
18,55.66633,-164.58667,1983,snow crab,4700,5200,274320,1116,15,2743215,404,34.8,14.0,4,793212,156
19,55.66717,-165.1845,1983,snow crab,60991,9800,480060,5148,34,4800634,784,60.2,29.4,259,1388107,315
20,55.671,-166.37142,1983,snow crab,43685,7500,342900,704,27,3429027,650,45.0,20.5,185,991505,345
21,55.67467,-165.80125,1983,snow crab,7194,9000,411480,3182,23,4114823,726,55.2,25.8,6,1189818,378
22,55.676,-167.56634,1983,snow crab,43725,3000,342900,380,26,3429026,705,44.0,21.0,185,991505,385
23,55.99684,-163.39917,1983,snow crab,7002,7800,411480,16470,23,4114823,546,42.0,19.2,6,1189818,186
24,55.99684,-162.24009,1983,snow crab,5750,7500,342900,10200,18,3429018,350,42.0,15.0,5,991515,70
25,55.99742,-167.00683,1983,snow crab,3624,3900,205740,207,11,2057411,411,28.200000000000003,12.0,3,594909,216
26,56.00108,-168.2175,1983,snow crab,7410,3600,411480,952,31,4114831,924,48.6,24.6,6,1189818,594
27,56.00192,-162.82917,1983,snow crab,52146,3600,411480,7704,23,4114823,480,52.2,19.2,222,1189806,138
28,56.00267,-164.5715,1983,snow crab,7056,9600,411480,8707,23,4114823,570,51.6,16.8,6,1189818,240
29,56.00442,-165.18667,1983,snow crab,52284,10200,411480,4131,23,4114823,582,50.4,17.4,222,1189806,276
30,56.00459,-165.82209,1983,snow crab,7188,7200,411480,6532,23,4114823,648,58.8,22.8,6,1189818,372
31,56.00509,-166.39267,1983,snow crab,52416,7200,411480,1292,23,4114823,756,55.8,24.0,222,1189806,408
32,56.0145,-164.00709,1983,snow crab,7032,9600,411480,9133,23,4114823,546,52.8,19.8,6,1189818,216
33,56.02325,-167.59375,1983,snow crab,52464,10200,411480,874,30,4114830,834,56.4,24.0,222,1189806,456
34,56.31784,-164.56092,1983,snow crab,7062,3600,411480,37737,23,4114823,540,51.0,14.4,6,1189818,246
35,56.32717,-163.9865,1983,snow crab,52254,10200,411480,13227,23,4114823,516,51.6,15.6,222,1189806,246
36,56.32817,-168.24184,1983,snow crab,9872,12800,548640,79432,39,5486439,1232,76.8,32.0,8,1586424,784
37,56.32834,-163.39858,1983,snow crab,6996,5400,411480,10100,23,4114823,528,53.4,18.0,6,1189818,180
38,56.33325,-168.91117,1983,snow crab,70192,8800,548640,5466,39,5486439,1072,72.8,30.400000000000002,296,1586408,848
39,56.33334,-160.99859,1983,snow crab,4596,4000,274320,912,15,2743215,228,31.6,15.6,4,793212,52
40,56.33433,-167.04083,1983,snow crab,3621,2700,205740,438,11,2057411,351,27.299999999999997,11.7,3,594909,213
41,56.33442,-165.2245,1983,snow crab,69720,4800,548640,15069,39,5486439,704,66.39999999999999,15.200000000000001,296,1586408,376
42,56.33617,-170.68017,1983,snow crab,6350,8500,342900,850,18,3429018,615,48.5,20.0,5,991515,670
43,56.3365,-162.80375,1983,snow crab,52152,5400,411480,6399,23,4114823,480,51.6,18.0,222,1189806,144
44,56.33834,-165.80625,1983,snow crab,7182,5400,411480,13954,23,4114823,558,51.6,14.4,6,1189818,366
45,56.33883,-166.41625,1983,snow crab,52410,5400,411480,4012,23,4114823,636,54.0,21.0,222,1189806,402
46,56.33909,-161.60892,1983,snow crab,52134,6000,411480,5428,23,4114823,396,46.2,18.0,222,1189806,126
47,56.34034,-170.05317,1983,snow crab,61425,11200,480060,750,37,4800637,784,77.0,24.5,259,1388107,749
48,56.34392,-167.66133,1983,snow crab,69944,11200,548640,8082,39,5486439,1056,74.39999999999999,32.0,296,1586408,600
