,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.99861,-165.76155,2001,snow crab,6378714,7308,411480,1800,23,4114823,780,49.2,22.8,528,1200606,432
1,54.99955,-166.3424,2001,snow crab,6378708,5436,411480,3144,23,4114823,858,38.4,22.8,528,1200606,426
2,55.00633,-166.9221,2001,snow crab,6378702,3774,411480,1968,23,4114823,876,46.2,25.2,528,1200606,420
3,55.00767,-165.15417,2001,snow crab,6380616,7248,411480,1491,23,4114823,666,39.0,25.2,534,1200606,318
4,55.3313,-166.95171,2001,snow crab,6380058,6888,411480,1993,23,4114823,834,46.8,23.4,534,1200606,462
5,55.33188,-165.17425,2001,snow crab,4253748,5812,274320,903,20,2743220,444,30.0,16.8,356,800404,216
6,55.34359,-167.4732,2001,snow crab,6380052,5502,411480,799,23,4114823,864,48.0,23.4,534,1200606,456
7,55.34682,-165.77575,2001,snow crab,6378720,9012,411480,5039,23,4114823,720,51.6,25.8,528,1200606,438
8,55.3498,-166.35146,2001,snow crab,6380064,8634,411480,4375,23,4114823,792,46.8,24.0,534,1200606,468
9,55.3529,-164.5467,2001,snow crab,6379266,5136,411480,5054,23,4114823,606,42.0,25.8,528,1200606,276
10,55.64435,-164.578,2001,snow crab,5316060,5500,342900,4187,21,3429021,485,34.5,18.5,440,1000505,235
11,55.65095,-163.41415,2001,snow crab,3189624,4344,205740,240,11,2057411,240,23.700000000000003,10.2,264,600303,129
12,55.65291,-168.1989,2001,snow crab,4252616,2536,274320,1672,20,2743220,544,28.8,16.4,352,800404,432
13,55.65692,-167.59,2001,snow crab,5316750,3195,342900,481,21,3429021,675,38.0,20.0,445,1000505,425
14,55.66208,-162.8493,2001,snow crab,3190233,3630,205740,228,11,2057411,159,17.1,10.8,267,600303,84
15,55.67164,-166.99595,2001,snow crab,6378756,3798,411480,1190,23,4114823,810,42.0,24.0,528,1200606,474
16,55.67404,-166.3852,2001,snow crab,4253380,6856,274320,1671,20,2743220,504,31.2,16.0,356,800404,316
17,55.67589,-165.79741,2001,snow crab,6378726,3840,411480,6061,23,4114823,708,49.8,25.2,528,1200606,444
18,55.67643,-165.16735,2001,snow crab,6380628,10386,411480,5154,23,4114823,648,43.2,24.0,534,1200606,330
19,55.69468,-164.00106,2001,snow crab,6380592,10230,411480,2574,23,4114823,558,49.2,21.6,534,1200606,294
20,55.9819,-163.9613,2001,snow crab,6380586,8562,411480,5706,23,4114823,540,42.0,19.8,534,1200606,288
21,55.9925,-163.4069,2001,snow crab,6379242,6948,411480,3621,23,4114823,528,38.4,19.8,528,1200606,252
22,55.99644,-166.3889,2001,snow crab,8506368,5000,548640,3285,39,5486439,992,63.199999999999996,32.800000000000004,712,1600808,640
23,55.99676,-164.6091,2001,snow crab,8505704,11200,548640,5452,39,5486439,744,52.800000000000004,28.0,704,1600808,384
24,55.99999,-162.8156,2001,snow crab,4253648,6048,274320,280,20,2743220,312,20.4,13.2,356,800404,116
25,56.00866,-165.7964,2001,snow crab,6378732,5460,411480,9989,23,4114823,648,51.0,25.2,528,1200606,450
26,56.01429,-167.0092,2001,snow crab,4252508,3640,274320,276,20,2743220,536,29.6,16.0,352,800404,320
27,56.01491,-168.23189,2001,snow crab,6378930,5664,411480,1146,23,4114823,906,42.0,24.6,528,1200606,654
28,56.01533,-165.20734,2001,snow crab,6379284,9810,411480,11641,23,4114823,576,40.2,23.4,528,1200606,294
29,56.30818,-163.41256,2001,snow crab,6379236,5538,411480,1799,23,4114823,516,35.4,19.2,528,1200606,246
30,56.33027,-165.80787,2001,snow crab,8504984,9096,548640,3495,38,5486438,720,0.0,27.199999999999996,704,1600808,608
31,56.3339,-168.8895,2001,snow crab,5316880,3150,342900,464,21,3429021,645,26.0,19.5,445,1000505,570
32,56.33474,-162.18625,2001,snow crab,6379104,11598,411480,873,23,4114823,462,26.4,18.0,528,1200606,114
33,56.3362,-170.68415,2001,snow crab,8507032,11224,548640,1191,38,5486438,968,53.60000000000001,32.0,712,1600808,936
34,56.33678,-162.79051,2001,snow crab,5317065,9145,342900,1569,21,3429021,395,19.5,15.5,445,1000505,150
35,56.33866,-168.25051,2001,snow crab,6378936,7362,411480,505,23,4114823,918,44.4,24.6,528,1200606,660
36,56.33975,-166.41525,2001,snow crab,8506768,7272,548640,3598,39,5486439,824,60.0,32.0,712,1600808,648
37,56.33985,-170.08935,2001,snow crab,8507024,9000,548640,7380,38,5486438,880,52.0,28.0,712,1600808,928
38,56.34004,-167.65226,2001,snow crab,4253408,4816,274320,1080,20,2743220,512,28.8,16.0,356,800404,348
39,56.34203,-163.97605,2001,snow crab,6380580,6858,411480,1407,23,4114823,522,32.4,18.6,534,1200606,282
40,56.34236,-164.59091,2001,snow crab,6379290,3780,411480,2366,23,4114823,516,34.2,0.0,528,1200606,300
41,56.3434,-165.19821,2001,snow crab,6380634,3822,411480,2143,23,4114823,516,33.0,18.0,534,1200606,336
42,56.3536,-167.04395,2001,snow crab,8505024,9152,548640,4973,39,5486439,896,60.0,32.800000000000004,704,1600808,648
43,56.61585,-163.93241,2001,snow crab,6380574,5598,411480,3982,23,4114823,468,32.4,17.4,534,1200606,276
44,56.65803,-163.35456,2001,snow crab,6379230,3828,411480,1707,23,4114823,456,32.4,17.4,528,1200606,240
45,56.66154,-162.16285,2001,snow crab,5315930,4795,342900,777,21,3429021,370,19.5,15.5,440,1000505,105
46,56.66223,-161.6083,2001,snow crab,6379110,4278,411480,2732,23,4114823,540,32.4,18.0,528,1200606,120
47,56.66295,-171.36375,2001,snow crab,6379836,3816,411480,16007,23,4114823,720,45.0,24.0,534,1200606,936
48,56.66361,-162.77275,2001,snow crab,6380484,3870,411480,2803,23,4114823,438,22.8,17.4,534,1200606,186
49,56.664,-165.8489,2001,snow crab,6378744,8484,411480,1272,23,4114823,468,0.0,18.0,528,1200606,462
50,56.66503,-169.49885,2001,snow crab,6378954,3840,411480,2737,23,4114823,480,31.8,22.2,528,1200606,678
51,56.66688,-170.73735,2001,snow crab,6380280,9816,411480,1628,23,4114823,678,40.8,22.2,534,1200606,708
52,56.6677,-166.43271,2001,snow crab,6380082,6870,411480,3930,23,4114823,504,48.0,18.0,534,1200606,492
53,56.66834,-171.96471,2001,snow crab,6379842,5460,411480,1016,23,4114823,756,46.8,25.2,534,1200606,942
54,56.66997,-168.92675,2001,snow crab,6378948,10458,411480,7669,23,4114823,594,41.4,18.6,528,1200606,672
55,56.67102,-167.05555,2001,snow crab,6378774,8436,411480,4574,23,4114823,564,42.0,20.4,528,1200606,492
56,56.67158,-172.56845,2001,snow crab,3189924,3645,205740,204,11,2057411,411,18.9,11.399999999999999,267,600303,474
57,56.67629,-165.2124,2001,snow crab,8507520,7280,548640,6311,38,5486438,608,40.0,23.199999999999996,712,1600808,456
58,56.67676,-168.27907,2001,snow crab,6378942,8730,411480,1935,23,4114823,642,45.0,21.0,528,1200606,666
59,56.67718,-170.13195,2001,snow crab,6380286,4200,411480,5189,23,4114823,576,39.6,21.6,534,1200606,714
60,56.68057,-167.6765,2001,snow crab,6380118,8688,411480,4171,23,4114823,600,42.6,18.6,534,1200606,528
61,56.68427,-164.59826,2001,snow crab,6379296,5136,411480,4641,23,4114823,450,31.8,16.8,528,1200606,306
62,56.82994,-169.31025,2001,snow crab,8507000,15488,548640,6859,38,5486438,632,50.39999999999999,24.800000000000004,712,1600808,904
63,56.83263,-169.87136,2001,snow crab,6378960,5472,411480,4033,23,4114823,438,34.8,21.6,528,1200606,684
64,56.83557,-170.4873,2001,snow crab,6380292,5442,411480,4414,23,4114823,606,39.0,21.6,534,1200606,720
65,56.8363,-168.623,2001,snow crab,9568377,18216,617220,9444,45,6172245,864,64.80000000000001,28.799999999999997,792,1800909,963
66,56.98388,-165.84225,2001,snow crab,6378750,9900,411480,7527,23,4114823,432,48.0,16.8,528,1200606,468
67,56.9853,-163.38166,2001,snow crab,6379224,9936,411480,2070,23,4114823,396,32.4,15.0,528,1200606,234
68,56.99067,-168.31665,2001,snow crab,8505216,14072,548640,26634,38,5486438,648,56.800000000000004,24.800000000000004,704,1600808,848
69,56.99479,-168.94665,2001,snow crab,9570366,15525,617220,7049,45,6172245,720,59.400000000000006,29.700000000000003,801,1800909,1008
70,56.99667,-164.59495,2001,snow crab,6379302,6678,411480,9199,23,4114823,426,30.6,15.0,528,1200606,312
71,56.99708,-161.57495,2001,snow crab,4253632,6544,274320,300,20,2743220,276,19.6,14.0,356,800404,100
72,56.99858,-170.17775,2001,snow crab,5316915,5560,342900,792,21,3429021,350,28.5,20.5,445,1000505,605
73,57.00036,-167.0842,2001,snow crab,6378780,9786,411480,1936,23,4114823,402,40.8,24.6,528,1200606,498
74,57.00137,-166.46685,2001,snow crab,6380088,8520,411480,2519,23,4114823,438,49.2,18.6,534,1200606,498
75,57.00151,-162.7763,2001,snow crab,6380490,5592,411480,1978,23,4114823,372,22.2,15.0,534,1200606,192
76,57.00178,-165.21075,2001,snow crab,8507528,9088,548640,16481,39,5486439,568,41.6,22.400000000000002,712,1600808,464
77,57.00223,-162.16296,2001,snow crab,4252748,5016,274320,759,16,2743216,240,16.4,13.2,352,800404,88
78,57.00351,-172.03911,2001,snow crab,6378474,7932,411480,3469,23,4114823,702,42.0,22.8,528,1200606,894
79,57.00359,-170.79495,2001,snow crab,4252304,2564,274320,1075,16,2743216,384,30.0,13.6,352,800404,584
80,57.00399,-171.39485,2001,snow crab,8504624,8232,548640,6880,38,5486438,872,59.199999999999996,26.400000000000002,704,1600808,1184
81,57.0042,-172.69341,2001,snow crab,4252320,6484,274320,1057,20,2743220,488,29.2,16.4,352,800404,600
82,57.00463,-167.70421,2001,snow crab,9570186,15390,617220,6031,45,6172245,702,63.0,28.799999999999997,801,1800909,801
83,57.00554,-169.54795,2001,snow crab,6378966,6750,411480,4968,23,4114823,372,28.2,22.8,528,1200606,690
84,57.04438,-164.03275,2001,snow crab,6380556,10206,411480,2131,23,4114823,402,31.8,14.4,534,1200606,258
85,57.16154,-168.66765,2001,snow crab,9568359,13950,617220,15420,45,6172245,684,61.19999999999999,27.900000000000006,792,1800909,945
