,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.99856,-166.33426,2004,snow crab,5978205,3545,342900,1795,21,3429021,720,39.5,20.5,440,1002005,365
1,55.0012,-165.1604,2004,snow crab,7174938,5688,411480,1813,23,4114823,672,40.8,27.6,528,1202406,234
2,55.00543,-165.75095,2004,snow crab,7175178,3954,411480,441,23,4114823,780,44.4,25.2,534,1202406,414
3,55.33162,-165.1698,2004,snow crab,4782648,4880,274320,516,20,2743220,444,31.6,17.6,352,801604,160
4,55.33472,-167.55025,2004,snow crab,3586947,5496,205740,180,13,2057413,444,21.0,12.600000000000001,264,601203,246
5,55.33878,-166.35275,2004,snow crab,7173852,5568,411480,623,23,4114823,798,46.8,24.6,528,1202406,444
6,55.33899,-165.78701,2004,snow crab,7175184,6036,411480,986,23,4114823,720,47.4,24.6,534,1202406,420
7,55.34728,-164.55126,2004,snow crab,7175022,8016,411480,4933,23,4114823,606,46.8,27.0,534,1202406,234
8,55.63077,-164.57836,2004,snow crab,5978275,8700,342900,1442,21,3429021,495,39.5,22.0,440,1002005,210
9,55.66104,-163.4067,2004,snow crab,4782628,4872,274320,296,20,2743220,324,30.0,15.6,352,801604,140
10,55.66207,-167.58515,2004,snow crab,5978240,8005,342900,682,21,3429021,675,42.0,20.5,440,1002005,405
11,55.66791,-165.80325,2004,snow crab,5980045,6175,342900,904,21,3429021,585,36.0,21.5,445,1002005,355
12,55.66953,-165.18105,2004,snow crab,5978085,7230,342900,627,21,3429021,545,39.0,21.0,440,1002005,205
13,55.67305,-166.38505,2004,snow crab,8369501,8113,480060,780,37,4800637,889,56.7,28.700000000000003,616,1402807,525
14,55.98936,-164.611,2004,snow crab,5979310,9770,342900,657,21,3429021,465,45.5,17.5,445,1002005,340
15,55.98982,-165.77676,2004,snow crab,4783460,6208,274320,984,20,2743220,432,34.0,16.0,356,801604,288
16,55.99763,-164.03716,2004,snow crab,4782476,3640,274320,424,15,2743215,364,31.6,12.4,352,801604,176
17,56.00009,-166.40705,2004,snow crab,7173864,8574,411480,1671,23,4114823,750,49.8,24.0,528,1202406,456
18,56.00363,-167.61985,2004,snow crab,4782660,2812,274320,534,15,2743215,536,28.8,16.0,352,801604,312
19,56.00663,-165.186,2004,snow crab,7173840,9756,411480,2125,23,4114823,576,44.4,18.6,528,1202406,432
20,56.06673,-167.00715,2004,snow crab,4783472,4044,274320,699,15,2743215,528,32.4,16.0,356,801604,300
21,56.32978,-164.57795,2004,snow crab,4783444,6856,274320,276,20,2743220,344,38.0,12.0,356,801604,268
22,56.32993,-165.20086,2004,snow crab,5978195,7005,342900,877,21,3429021,435,33.0,14.5,440,1002005,355
23,56.33194,-164.02271,2004,snow crab,5978100,5730,342900,1428,21,3429021,435,43.0,14.5,440,1002005,225
24,56.33247,-167.02806,2004,snow crab,7175202,4206,411480,1193,23,4114823,678,46.8,24.0,534,1202406,444
25,56.33659,-170.68145,2004,snow crab,3587115,4260,205740,222,15,2057415,363,26.099999999999998,12.600000000000001,264,601203,330
26,56.33729,-170.06926,2004,snow crab,7174224,6948,411480,3500,23,4114823,654,55.2,25.2,528,1202406,654
27,56.33807,-166.4317,2004,snow crab,5978225,8295,342900,450,21,3429021,520,41.0,18.5,440,1002005,385
28,56.33963,-168.25325,2004,snow crab,8369900,10514,480060,1860,37,4800637,1071,68.6,28.700000000000003,616,1402807,735
29,56.34037,-167.6528,2004,snow crab,4783724,7264,274320,455,20,2743220,516,40.4,16.0,356,801604,404
30,56.35189,-165.8105,2004,snow crab,5979330,9205,342900,1838,21,3429021,455,42.0,15.5,445,1002005,365
31,56.65744,-162.21255,2004,snow crab,4783316,5428,274320,408,20,2743220,288,31.2,14.0,356,801604,116
32,56.66086,-163.38425,2004,snow crab,4784048,4896,274320,1398,15,2743215,296,32.4,11.6,356,801604,172
33,56.6638,-165.22175,2004,snow crab,4782636,4536,274320,280,20,2743220,308,26.0,12.0,352,801604,280
34,56.66507,-170.1226,2004,snow crab,5978350,3535,342900,1867,18,3429018,485,36.5,22.5,440,1002005,560
35,56.66548,-166.42746,2004,snow crab,9565472,10504,548640,2894,39,5486439,680,68.8,24.0,704,1603208,664
36,56.66649,-167.67481,2004,snow crab,7174032,6840,411480,1104,23,4114823,612,56.4,21.6,528,1202406,624
37,56.66683,-161.60755,2004,snow crab,3587421,3411,205740,216,13,2057413,267,21.6,10.2,264,601203,54
38,56.66695,-164.0113,2004,snow crab,5978260,7070,342900,1317,21,3429021,375,46.0,14.5,440,1002005,230
39,56.6673,-167.0635,2004,snow crab,9567408,11480,548640,621,39,5486439,760,78.39999999999999,26.400000000000002,712,1603208,800
40,56.66748,-164.5853,2004,snow crab,5979300,7190,342900,864,21,3429021,370,44.5,14.5,445,1002005,330
41,56.67005,-170.73021,2004,snow crab,4782700,6600,274320,650,15,2743215,456,35.6,16.4,352,801604,444
42,56.6705,-168.9246,2004,snow crab,4783556,4988,274320,1608,15,2743215,396,36.8,14.4,356,801604,416
43,56.67362,-171.3558,2004,snow crab,7174008,8670,411480,733,23,4114823,720,56.4,25.2,528,1202406,954
44,56.67377,-168.2929,2004,snow crab,5979440,3510,342900,1360,21,3429021,530,47.0,19.5,445,1002005,510
45,56.67596,-165.8495,2004,snow crab,7175520,7494,411480,1013,23,4114823,540,52.8,0.0,534,1202406,474
46,56.68112,-172.60231,2004,snow crab,3587235,4077,205740,216,13,2057413,399,28.200000000000003,12.600000000000001,264,601203,480
47,56.81915,-168.61496,2004,snow crab,4783688,4048,274320,800,15,2743215,388,36.4,14.0,356,801604,412
48,56.82855,-170.48031,2004,snow crab,9565456,6864,548640,2881,40,5486440,808,68.0,32.800000000000004,704,1603208,928
49,56.83248,-169.9048,2004,snow crab,7175592,6306,411480,669,23,4114823,432,49.8,27.6,534,1202406,672
50,56.83714,-169.30615,2004,snow crab,7174242,7458,411480,476,23,4114823,480,51.6,23.4,528,1202406,684
51,56.97946,-164.6153,2004,snow crab,4783432,3684,274320,528,20,2743220,280,32.8,11.2,356,801604,256
52,56.98443,-165.84655,2004,snow crab,7175688,9078,411480,659,23,4114823,432,55.2,18.6,534,1202406,480
53,56.99276,-167.08605,2004,snow crab,7175322,6870,411480,923,23,4114823,438,56.4,21.0,534,1202406,594
54,56.99638,-169.5523,2004,snow crab,7174248,9060,411480,3497,23,4114823,366,52.2,22.8,528,1202406,690
55,56.99679,-165.22865,2004,snow crab,5978190,4515,342900,460,21,3429021,360,38.5,15.5,440,1002005,345
56,56.99782,-170.16391,2004,snow crab,4783584,3236,274320,606,15,2743215,280,31.6,18.8,356,801604,444
57,56.99962,-161.56466,2004,snow crab,3587424,4209,205740,222,13,2057413,207,21.9,10.2,264,601203,57
58,57.00036,-166.4647,2004,snow crab,7174110,9240,411480,1129,23,4114823,450,51.0,19.2,528,1202406,504
59,57.00129,-167.70385,2004,snow crab,9565592,7288,548640,3850,38,5486438,624,71.2,28.0,704,1603208,824
60,57.00228,-168.30565,2004,snow crab,7175346,11010,411480,1950,23,4114823,486,55.8,21.6,534,1202406,636
61,57.00271,-171.4002,2004,snow crab,5978720,6115,342900,1729,21,3429021,545,48.0,21.0,440,1002005,790
62,57.00333,-162.793,2004,snow crab,4783324,7392,274320,462,20,2743220,244,30.0,14.8,356,801604,124
63,57.00625,-173.2337,2004,snow crab,7174482,11406,411480,771,23,4114823,840,59.4,24.6,528,1202406,972
64,57.00784,-172.02545,2004,snow crab,2391946,2900,137160,134,16,1371616,232,19.6,8.4,178,400802,310
65,57.0103,-168.96071,2004,snow crab,10763010,14031,617220,2674,45,6172245,720,84.60000000000001,33.3,801,1803609,945
66,57.01075,-170.80155,2004,snow crab,9567576,10808,548640,6986,39,5486439,760,76.8,36.0,712,1603208,1224
67,57.01834,-172.6565,2004,snow crab,5978730,8175,342900,1275,18,3429018,610,49.0,21.0,440,1002005,805
68,57.16111,-169.3183,2004,snow crab,7175370,9714,411480,5864,23,4114823,432,54.6,22.8,534,1202406,660
69,57.16588,-168.6378,2004,snow crab,7175358,6288,411480,1591,23,4114823,450,54.0,22.8,534,1202406,648
70,57.32685,-169.00981,2004,snow crab,7175364,7842,411480,54613,30,4114830,420,54.6,23.4,534,1202406,654
71,57.32866,-162.1532,2004,snow crab,3587484,2562,205740,219,15,2057415,153,18.299999999999997,12.600000000000001,267,601203,81
72,57.3293,-171.46455,2004,snow crab,9565944,7576,548640,2951,38,5486438,808,75.2,33.6,704,1603208,1256
73,57.32952,-167.1222,2004,snow crab,4783544,3644,274320,894,15,2743215,280,37.2,11.2,356,801604,392
74,57.33042,-167.73835,2004,snow crab,9565416,5184,548640,1778,38,5486438,592,72.8,22.400000000000002,704,1603208,816
75,57.33115,-164.01486,2004,snow crab,5979210,10175,342900,927,21,3429021,315,51.0,15.0,445,1002005,230
76,57.3318,-166.48125,2004,snow crab,7174116,10842,411480,1770,23,4114823,420,49.8,16.2,528,1202406,510
77,57.33281,-165.87185,2004,snow crab,3587847,5256,205740,210,15,2057415,204,26.400000000000002,8.7,267,601203,243
78,57.33538,-168.31465,2004,snow crab,4783568,2800,274320,2100,15,2743215,296,33.2,14.0,356,801604,428
79,57.33648,-169.5987,2004,snow crab,4783592,6208,274320,765,15,2743215,252,36.0,14.4,356,801604,456
80,57.33686,-164.6114,2004,snow crab,4783428,2544,274320,1100,20,2743220,264,32.4,8.4,356,801604,252
81,57.34041,-165.22926,2004,snow crab,7173822,3792,411480,1318,23,4114823,402,30.6,15.0,528,1202406,408
82,57.34148,-172.09655,2004,snow crab,9567792,13776,548640,5264,38,5486438,864,81.60000000000001,33.6,712,1603208,1248
83,57.34204,-170.8604,2004,snow crab,2391892,2230,137160,136,16,1371616,166,16.0,9.8,178,400802,304
84,57.35815,-172.80755,2004,snow crab,3587925,2187,205740,180,11,2057411,351,29.099999999999998,12.0,267,601203,471
85,57.49879,-169.36196,2004,snow crab,9565424,5264,548640,852,38,5486438,576,69.60000000000001,29.599999999999998,704,1603208,960
86,57.50263,-170.60886,2004,snow crab,7175670,5550,411480,670,36,4114836,450,54.0,28.8,534,1202406,906
87,57.50646,-169.99016,2004,snow crab,10761057,14580,617220,68107,45,6172245,621,72.89999999999999,25.200000000000003,792,1803609,1071
88,57.50659,-168.74056,2004,snow crab,4783596,2636,274320,1224,15,2743215,284,33.2,16.0,356,801604,460
89,57.6567,-167.1616,2004,snow crab,8371195,4522,480060,1194,33,4800633,476,61.599999999999994,14.7,623,1402807,679
90,57.65819,-166.4994,2004,snow crab,7174056,3828,411480,4650,23,4114823,402,46.8,18.0,528,1202406,516
91,57.66131,-170.26666,2004,snow crab,9565816,13760,548640,212869,40,5486440,576,78.39999999999999,26.400000000000002,704,1603208,1112
92,57.66368,-171.54185,2004,snow crab,10761678,6435,617220,4425,45,6172245,900,83.69999999999999,36.0,792,1803609,1404
93,57.66494,-169.65341,2004,snow crab,10763262,15624,617220,2910952,45,6172245,630,89.10000000000001,30.599999999999994,801,1803609,1206
94,57.66584,-170.90136,2004,snow crab,4783776,2884,274320,437,20,2743220,340,35.2,15.6,356,801604,600
95,57.66608,-167.7652,2004,snow crab,10761282,14517,617220,4199,45,6172245,630,79.19999999999999,18.900000000000002,792,1803609,909
96,57.66657,-165.8816,2004,snow crab,5979750,3190,342900,4719,18,3429018,320,41.5,12.0,445,1002005,410
97,57.66672,-165.25449,2004,snow crab,7174002,9666,411480,1311,23,4114823,366,39.6,13.8,528,1202406,402
98,57.66689,-172.18151,2004,snow crab,10763793,11871,617220,3316,45,6172245,963,88.19999999999999,36.0,801,1803609,1431
99,57.66761,-168.3918,2004,snow crab,9567200,7352,548640,2760,38,5486438,568,68.0,24.0,712,1603208,928
100,57.67823,-169.029,2004,snow crab,9565688,7320,548640,91516,38,5486438,560,68.0,30.400000000000002,704,1603208,968
101,57.67894,-160.2643,2004,snow crab,3587403,4506,205740,231,15,2057415,162,13.5,11.399999999999999,264,601203,30
102,57.8246,-169.98816,2004,snow crab,10763271,5922,617220,162653,45,6172245,648,83.69999999999999,17.1,801,1803609,1215
103,57.82844,-168.73391,2004,snow crab,7175406,7218,411480,1796,30,4114830,420,51.6,19.2,534,1202406,702
104,57.83855,-170.63195,2004,snow crab,10761552,6363,617220,6871,45,6172245,711,75.60000000000001,21.599999999999998,792,1803609,1260
105,57.84425,-169.3706,2004,snow crab,9565696,9072,548640,588549,40,5486440,536,68.8,30.400000000000002,704,1603208,976
106,57.98806,-170.32829,2004,snow crab,10761534,12951,617220,3857158,45,6172245,675,81.0,9.899999999999999,792,1803609,1242
107,57.98993,-173.4879,2004,snow crab,9566000,9952,548640,1123,38,5486438,944,76.8,29.599999999999998,704,1603208,1320
108,57.99484,-172.2595,2004,snow crab,8371846,10892,480060,7754,36,4800636,728,69.3,23.799999999999997,623,1402807,1120
109,57.99688,-165.2547,2004,snow crab,3586908,4053,205740,225,13,2057413,153,12.899999999999999,11.7,264,601203,198
110,57.99779,-169.69659,2004,snow crab,10763253,12744,617220,1422494,45,6172245,630,82.80000000000001,30.599999999999994,801,1803609,1197
111,57.99918,-172.8778,2004,snow crab,9566008,12256,548640,276749,39,5486439,872,80.0,29.599999999999998,704,1603208,1328
112,57.99986,-167.80396,2004,snow crab,9565352,10760,548640,5250,38,5486438,544,68.0,20.0,704,1603208,800
113,58.00001,-167.1656,2004,snow crab,4783536,6848,274320,612,15,2743215,256,37.6,12.4,356,801604,384
114,58.00058,-171.56925,2004,snow crab,9565832,8320,548640,3577,38,5486438,784,72.8,28.0,704,1603208,1128
115,58.00226,-169.079,2004,snow crab,10761417,12744,617220,6053,45,6172245,630,77.39999999999999,25.200000000000003,792,1803609,1107
116,58.00234,-170.96071,2004,snow crab,10763397,9216,617220,5094,45,6172245,783,77.39999999999999,19.799999999999997,801,1803609,1224
117,58.00342,-168.44355,2004,snow crab,10763118,12861,617220,5531,45,6172245,621,80.10000000000001,23.400000000000002,801,1803609,1062
118,58.00582,-165.9056,2004,snow crab,4783504,3652,274320,1003,15,2743215,220,31.2,12.4,356,801604,332
119,58.00616,-166.5186,2004,snow crab,5978435,4555,342900,1394,18,3429018,310,40.5,13.5,440,1002005,435
120,58.31045,-171.63401,2004,snow crab,9565840,10064,548640,3719,39,5486439,768,75.2,20.0,704,1603208,1136
121,58.32784,-170.37995,2004,snow crab,10761525,10881,617220,199474,45,6172245,675,77.39999999999999,10.799999999999999,792,1803609,1233
122,58.32822,-169.1326,2004,snow crab,9565448,13120,548640,6694,38,5486438,544,70.39999999999999,16.8,704,1603208,992
123,58.33052,-167.83894,2004,snow crab,8369879,7826,480060,13401,33,4800633,399,56.7,0.0,616,1402807,693
124,58.33201,-173.57331,2004,snow crab,10761777,6543,617220,32320,45,6172245,1044,89.10000000000001,32.400000000000006,792,1803609,1512
125,58.33201,-167.18314,2004,snow crab,3587649,4326,205740,219,11,2057411,156,24.900000000000002,9.3,267,601203,285
126,58.33203,-172.29939,2004,snow crab,9567832,14576,548640,1201470,39,5486439,824,83.2,24.0,712,1603208,1288
127,58.33281,-169.7211,2004,snow crab,9567328,9200,548640,3669,39,5486439,560,69.60000000000001,24.800000000000004,712,1603208,1056
128,58.3356,-168.48071,2004,snow crab,9567224,13256,548640,5424,38,5486438,520,69.60000000000001,21.599999999999998,712,1603208,952
129,58.33662,-171.0129,2004,snow crab,10763406,11223,617220,74086,45,6172245,756,77.39999999999999,12.600000000000001,801,1803609,1233
130,58.33895,-172.93165,2004,snow crab,8370264,12719,480060,7666,37,4800637,763,70.7,23.799999999999997,616,1402807,1169
131,58.34074,-166.5499,2004,snow crab,2391376,2268,137160,144,15,1371615,96,15.8,7.4,176,400802,176
132,58.3467,-174.31405,2004,snow crab,9566032,8208,548640,1473,39,5486439,1336,77.60000000000001,29.599999999999998,704,1603208,1352
133,58.64834,-169.1391,2004,snow crab,8369998,4592,480060,3024,37,4800637,448,58.099999999999994,14.0,616,1402807,875
134,58.65383,-170.4212,2004,snow crab,10761516,8451,617220,41308,45,6172245,666,77.39999999999999,17.1,792,1803609,1224
135,58.66287,-167.86875,2004,snow crab,3587088,2565,205740,207,11,2057411,141,21.6,11.7,264,601203,294
136,58.66481,-169.783,2004,snow crab,10763235,8271,617220,7458,45,6172245,603,76.5,19.799999999999997,801,1803609,1179
137,58.66619,-176.84136,2004,snow crab,2391918,1508,137160,118,15,1371615,268,20.8,6.6,178,400802,406
138,58.66673,-172.3686,2004,snow crab,10763820,6498,617220,26886,45,6172245,918,94.5,26.099999999999994,801,1803609,1458
139,58.66675,-173.6418,2004,snow crab,9567856,9840,548640,59056,39,5486439,1008,80.0,27.199999999999996,712,1603208,1312
140,58.66856,-173.0028,2004,snow crab,10763829,8604,617220,84518,45,6172245,1008,92.69999999999999,29.700000000000003,801,1803609,1467
141,58.6691,-175.54406,2004,snow crab,5979805,6530,342900,290,28,3429028,675,52.0,16.0,445,1002005,1025
142,58.6692,-171.71456,2004,snow crab,9565848,12280,548640,1689,38,5486438,744,70.39999999999999,11.200000000000001,704,1603208,1144
143,58.6693,-176.19336,2004,snow crab,2391920,2064,137160,244,15,1371615,276,20.8,6.4,178,400802,408
144,58.67102,-174.27085,2004,snow crab,3587265,3903,205740,642,11,2057411,468,29.400000000000002,10.5,264,601203,510
145,58.67594,-171.07655,2004,snow crab,10763415,13797,617220,63779,45,6172245,738,76.5,7.199999999999999,801,1803609,1242
146,58.73917,-174.9699,2004,snow crab,2391924,3070,137160,120,15,1371615,290,21.2,7.0,178,400802,412
147,58.98857,-170.49591,2004,snow crab,10761507,6300,617220,472648,45,6172245,639,75.60000000000001,18.900000000000002,792,1803609,1215
148,58.98949,-171.78875,2004,snow crab,10761147,15813,617220,78897,45,6172245,792,77.39999999999999,7.199999999999999,792,1803609,1296
149,58.99017,-174.3701,2004,snow crab,5978780,7635,342900,823,18,3429018,635,51.0,16.5,440,1002005,855
150,58.99768,-171.13554,2004,snow crab,10763424,15786,617220,148397,45,6172245,693,77.39999999999999,10.799999999999999,801,1803609,1251
151,58.99922,-169.84225,2004,snow crab,10763226,5841,617220,8238,45,6172245,567,74.69999999999999,18.900000000000002,801,1803609,1170
152,58.99979,-175.02391,2004,snow crab,10763955,15561,617220,1200,45,6172245,1152,0.0,0.0,801,1803609,1638
153,58.99983,-173.08906,2004,snow crab,10763847,15714,617220,51400,45,6172245,963,95.39999999999999,26.099999999999994,801,1803609,1494
154,59.00132,-173.72041,2004,snow crab,7175826,9054,411480,737,33,4114833,702,62.4,19.8,534,1202406,990
155,59.00218,-168.5291,2004,snow crab,5979525,4570,342900,700,26,3429026,235,31.5,21.0,445,1002005,605
156,59.00274,-172.41036,2004,snow crab,9567544,13216,548640,3878,43,5486443,784,77.60000000000001,17.599999999999998,712,1603208,1192
157,59.00998,-169.17475,2004,snow crab,9565720,7448,548640,1329,38,5486438,440,53.60000000000001,23.199999999999996,704,1603208,1008
158,59.3229,-169.22785,2004,snow crab,3587148,3453,205740,450,11,2057411,153,21.0,8.7,264,601203,381
159,59.32877,-174.45095,2004,snow crab,9566056,14064,548640,2155,38,5486438,968,84.0,24.800000000000004,704,1603208,1376
160,59.33012,-171.83726,2004,snow crab,10761588,6309,617220,83152,45,6172245,720,76.5,0.8999999999999999,792,1803609,1305
161,59.33134,-171.1828,2004,snow crab,10763433,5922,617220,296635,45,6172245,675,75.60000000000001,-1.7999999999999998,801,1803609,1260
162,59.33197,-169.8769,2004,snow crab,9567304,13656,548640,994,39,5486439,480,66.39999999999999,8.799999999999999,712,1603208,1032
163,59.33206,-172.49821,2004,snow crab,10763478,12798,617220,7575,45,6172245,792,78.30000000000001,12.600000000000001,801,1803609,1332
