,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,54.99166,-165.15385,2016,snow crab,-61232,5648,274320,300,20,2743220,444,36.4,20.4,648,806404,288
1,55.01778,-166.33287,2016,snow crab,-62080,5016,274320,268,20,2743220,568,34.8,19.2,376,806404,276
2,55.04677,-164.57856,2016,snow crab,-45921,3408,205740,231,15,2057415,192,25.200000000000003,20.1,486,604803,213
3,55.30882,-164.55007,2016,snow crab,-107142,6517,480060,11554,37,4800637,714,60.900000000000006,38.5,1134,1411207,490
4,55.32544,-165.17135,2016,snow crab,-61504,4932,274320,1076,20,2743220,444,36.8,20.0,376,806404,268
5,55.34251,-167.5561,2016,snow crab,-107660,5313,480060,888,36,4800636,1043,57.400000000000006,32.2,1134,1411207,539
6,55.3463,-166.95129,2016,snow crab,-123048,8392,548640,884,38,5486438,1112,72.8,37.6,1296,1612808,624
7,55.65003,-164.57219,2016,snow crab,-76495,3545,342900,567,21,3429021,485,48.0,28.0,810,1008005,315
8,55.65994,-165.17956,2016,snow crab,-107625,6643,480060,2040,37,4800637,756,69.3,37.1,658,1411207,462
9,55.66723,-167.58319,2016,snow crab,-76920,3640,342900,340,26,3429026,680,44.0,23.0,810,1008005,405
10,55.67206,-165.80816,2016,snow crab,-61516,5300,274320,268,20,2743220,468,37.2,20.0,648,806404,304
11,55.67459,-166.38039,2016,snow crab,-93138,7824,411480,704,36,4114836,756,55.2,28.8,564,1209606,432
12,55.70133,-163.9889,2016,snow crab,-76500,5030,342900,518,21,3429021,470,49.0,24.0,810,1008005,320
13,55.98608,-164.03776,2016,snow crab,-61192,6860,274320,284,20,2743220,364,39.2,18.8,648,806404,248
14,55.99323,-164.57972,2016,snow crab,-61188,5804,274320,856,20,2743220,372,38.0,18.8,648,806404,244
15,55.99397,-168.23041,2016,snow crab,-123088,10584,548640,17418,39,5486439,1200,66.39999999999999,35.199999999999996,1296,1612808,664
16,55.99543,-165.17406,2016,snow crab,-122992,5672,548640,7126,39,5486439,768,77.60000000000001,37.6,752,1612808,520
17,55.99835,-165.7895,2016,snow crab,-122984,12216,548640,167697,39,5486439,864,78.39999999999999,40.800000000000004,752,1612808,512
18,56.00147,-167.00952,2016,snow crab,-92298,9696,411480,4320,36,4114836,804,54.6,28.2,972,1209606,480
19,56.0026,-166.39186,2016,snow crab,-108668,10815,480060,1913,42,4800642,868,66.5,33.6,658,1411207,511
20,56.00889,-163.40057,2016,snow crab,-61068,4852,274320,272,20,2743220,356,39.2,18.8,648,806404,124
21,56.01209,-167.61603,2016,snow crab,-92322,9768,411480,4566,36,4114836,792,51.0,28.2,972,1209606,504
22,56.30941,-164.56354,2016,snow crab,-61184,4868,274320,2060,20,2743220,348,38.4,18.8,648,806404,240
23,56.32882,-165.20627,2016,snow crab,-61456,3796,274320,1408,20,2743220,344,39.6,18.4,376,806404,248
24,56.32986,-167.03002,2016,snow crab,-123104,5696,548640,46826,39,5486439,912,70.39999999999999,39.199999999999996,1296,1612808,680
25,56.33005,-165.79858,2016,snow crab,-61460,4948,274320,3076,20,2743220,364,38.4,18.8,376,806404,252
26,56.331,-164.03831,2016,snow crab,-91770,5718,411480,791,23,4114823,516,58.2,28.2,972,1209606,354
27,56.3324,-168.87223,2016,snow crab,-124040,10712,548640,98395,39,5486439,1032,73.60000000000001,37.6,752,1612808,792
28,56.33334,-170.06767,2016,snow crab,-31194,2880,137160,290,15,1371615,218,20.0,9.8,188,403202,244
29,56.33441,-168.21286,2016,snow crab,-123192,11608,548640,71332,39,5486439,1208,75.2,36.800000000000004,1296,1612808,768
30,56.33511,-166.40772,2016,snow crab,-93150,10956,411480,3452,23,4114823,624,56.4,29.4,564,1209606,444
31,56.3363,-170.68599,2016,snow crab,-31192,2266,137160,410,16,1371616,242,20.6,9.2,188,403202,242
32,56.33896,-169.32442,2016,snow crab,-31012,3202,137160,272,16,1371616,274,17.6,9.4,188,403202,200
33,56.3414,-167.65128,2016,snow crab,-92388,7272,411480,4890,23,4114823,774,55.8,28.2,972,1209606,570
34,56.65509,-167.06329,2016,snow crab,-123112,8824,548640,1428,43,5486443,768,69.60000000000001,38.4,1296,1612808,688
35,56.65939,-164.02664,2016,snow crab,-91764,4350,411480,782,23,4114823,450,58.2,28.8,972,1209606,348
36,56.65967,-168.28131,2016,snow crab,-93024,5718,411480,12560,23,4114823,642,54.0,29.4,564,1209606,588
37,56.66485,-165.21631,2016,snow crab,-76815,3515,342900,511,21,3429021,380,49.5,22.5,470,1008005,305
38,56.66589,-166.44125,2016,snow crab,-77630,3530,342900,1756,21,3429021,425,46.0,23.0,470,1008005,375
39,56.66846,-168.89153,2016,snow crab,-123200,5656,548640,111522,39,5486439,808,71.2,38.4,1296,1612808,776
40,56.67023,-165.8545,2016,snow crab,-122896,14504,548640,2608,39,5486439,624,77.60000000000001,36.0,752,1612808,480
41,56.67061,-171.3529,2016,snow crab,-124760,5720,548640,213961,39,5486439,960,77.60000000000001,38.4,752,1612808,960
42,56.67109,-170.73717,2016,snow crab,-62352,2840,274320,416,15,2743215,456,36.0,19.2,376,806404,452
43,56.6714,-167.6671,2016,snow crab,-123176,7496,548640,14231,39,5486439,808,72.0,38.4,1296,1612808,752
44,56.83094,-169.30005,2016,snow crab,-93048,5574,411480,766,31,4114831,480,48.6,29.4,564,1209606,612
45,56.83393,-170.48449,2016,snow crab,-77945,4670,342900,613,18,3429018,505,45.5,25.5,470,1008005,570
46,56.83587,-168.62528,2016,snow crab,-123208,7608,548640,192865,39,5486439,776,72.0,36.800000000000004,1296,1612808,784
47,56.98971,-167.7061,2016,snow crab,-92376,4248,411480,2464,23,4114823,468,52.8,27.0,972,1209606,558
48,56.99369,-168.33571,2016,snow crab,-93018,4230,411480,15750,23,4114823,486,53.4,26.4,564,1209606,582
49,56.99392,-171.38304,2016,snow crab,-124784,5896,548640,146100,39,5486439,880,82.39999999999999,39.199999999999996,1296,1612808,1040
50,56.99408,-168.92948,2016,snow crab,-123896,9912,548640,10005,39,5486439,640,71.2,37.6,1296,1612808,792
51,56.99703,-169.55035,2016,snow crab,-93054,6888,411480,526,23,4114823,366,52.2,30.0,564,1209606,618
52,56.99712,-165.84386,2016,snow crab,-46083,4599,205740,231,15,2057415,216,30.0,12.600000000000001,282,604803,177
53,56.99812,-167.09783,2016,snow crab,-76950,6795,342900,832,21,3429021,370,44.0,22.0,810,1008005,435
54,57.00054,-170.78428,2016,snow crab,-77950,6030,342900,624,18,3429018,475,47.0,27.0,470,1008005,575
55,57.00075,-172.64996,2016,snow crab,-126464,10504,548640,666,39,5486439,976,96.0,38.4,752,1612808,1528
56,57.00182,-172.03176,2016,snow crab,-125088,8224,548640,63452,39,5486439,936,82.39999999999999,38.4,752,1612808,992
57,57.00254,-166.46141,2016,snow crab,-46581,2832,205740,231,11,2057411,222,27.0,12.600000000000001,282,604803,228
58,57.15936,-168.62843,2016,snow crab,-92928,9096,411480,938,23,4114823,462,57.0,27.6,972,1209606,600
59,57.1659,-169.31594,2016,snow crab,-124080,11360,548640,23844,39,5486439,584,74.39999999999999,38.4,752,1612808,832
60,57.32093,-163.99612,2016,snow crab,-30580,1412,137160,150,15,1371615,124,18.8,9.8,324,403202,108
61,57.32151,-168.98261,2016,snow crab,-46467,5244,205740,237,15,2057415,210,29.099999999999998,14.399999999999999,486,604803,303
62,57.32765,-169.58372,2016,snow crab,-93066,9882,411480,1098,23,4114823,378,56.4,28.2,564,1209606,630
63,57.32959,-167.73379,2016,snow crab,-92370,9270,411480,858,23,4114823,438,52.8,25.8,972,1209606,552
64,57.33299,-167.14479,2016,snow crab,-46173,4971,205740,699,13,2057413,210,26.099999999999998,12.0,486,604803,264
65,57.33448,-168.36621,2016,snow crab,-93012,9840,411480,2051,23,4114823,444,52.8,27.6,564,1209606,576
66,57.33463,-166.48447,2016,snow crab,-93168,7320,411480,1528,23,4114823,420,54.6,25.2,564,1209606,462
67,57.33548,-165.8662,2016,snow crab,-61432,2824,274320,340,20,2743220,272,38.0,17.2,376,806404,224
68,57.33635,-171.46452,2016,snow crab,-124792,8888,548640,12201,39,5486439,816,85.60000000000001,38.4,1296,1612808,1048
69,57.34024,-172.10235,2016,snow crab,-125096,10584,548640,44023,39,5486439,880,83.2,37.6,752,1612808,1000
70,57.34782,-172.81367,2016,snow crab,-126456,8152,548640,14502,43,5486443,936,93.60000000000001,37.6,752,1612808,1520
71,57.34817,-170.86352,2016,snow crab,-124144,10064,548640,25858,39,5486439,672,72.8,44.0,752,1612808,896
72,57.35545,-162.14968,2016,snow crab,-30518,2402,137160,148,15,1371615,102,16.6,12.0,324,403202,44
73,57.49417,-168.75199,2016,snow crab,-123920,5680,548640,13101,39,5486439,568,75.2,37.6,1296,1612808,816
74,57.49887,-169.37009,2016,snow crab,-77560,3540,342900,1061,21,3429021,350,48.5,24.5,470,1008005,530
75,57.50243,-169.99562,2016,snow crab,-92910,6042,411480,7556,23,4114823,408,55.8,27.6,972,1209606,642
76,57.50436,-170.58314,2016,snow crab,-77585,5170,342900,345,28,3429028,370,46.5,26.5,470,1008005,555
77,57.65813,-172.17837,2016,snow crab,-125104,12840,548640,137303,39,5486439,872,86.39999999999999,35.199999999999996,752,1612808,1008
78,57.66367,-172.79136,2016,snow crab,-126448,5968,548640,120515,39,5486439,952,96.79999999999998,36.800000000000004,752,1612808,1512
79,57.66428,-167.74367,2016,snow crab,-92364,7848,411480,4629,23,4114823,414,51.0,28.2,972,1209606,546
80,57.66647,-166.50305,2016,snow crab,-93174,8736,411480,865,23,4114823,396,55.8,27.6,564,1209606,468
81,57.66656,-170.31032,2016,snow crab,-77420,3540,342900,2140,26,3429026,365,47.0,23.0,810,1008005,530
82,57.66747,-169.65785,2016,snow crab,-93078,5682,411480,31062,23,4114823,420,57.6,28.2,564,1209606,642
83,57.66754,-171.53028,2016,snow crab,-124800,10856,548640,9209,39,5486439,800,85.60000000000001,36.800000000000004,1296,1612808,1056
84,57.66863,-170.89219,2016,snow crab,-124128,5808,548640,7196,39,5486439,680,73.60000000000001,36.0,752,1612808,880
85,57.66968,-168.4019,2016,snow crab,-124008,10784,548640,2340,38,5486438,568,69.60000000000001,35.199999999999996,752,1612808,760
86,57.66977,-165.25324,2016,snow crab,-46068,3924,205740,246,11,2057411,180,29.700000000000003,14.700000000000001,282,604803,162
87,57.67004,-167.13121,2016,snow crab,-92358,5736,411480,1540,23,4114823,408,52.8,26.4,972,1209606,540
88,57.67116,-163.3271,2016,snow crab,-45825,2121,205740,243,11,2057411,141,26.700000000000003,20.1,486,604803,117
89,57.67284,-169.04113,2016,snow crab,-139338,8388,617220,30355,45,6172245,621,84.60000000000001,40.5,1458,1814409,927
90,57.82798,-168.73094,2016,snow crab,-92886,6912,411480,48156,23,4114823,426,55.2,24.6,972,1209606,624
91,57.83273,-170.60969,2016,snow crab,-93090,9192,411480,1863,23,4114823,468,58.2,22.8,564,1209606,654
92,57.83667,-169.34243,2016,snow crab,-139347,12888,617220,1140403,45,6172245,594,85.5,41.400000000000006,1458,1814409,945
93,57.84043,-169.97105,2016,snow crab,-77570,6145,342900,106119,18,3429018,360,49.0,21.5,470,1008005,540
94,57.98032,-167.16877,2016,snow crab,-92352,4254,411480,2002,23,4114823,384,51.6,28.8,972,1209606,534
95,57.99235,-170.97424,2016,snow crab,-140418,6624,617220,7912,45,6172245,783,106.19999999999999,32.400000000000006,1458,1814409,1206
96,57.99358,-169.69947,2016,snow crab,-124736,5744,548640,30910,39,5486439,568,87.20000000000002,36.800000000000004,752,1612808,936
97,57.99496,-172.8662,2016,snow crab,-126384,13192,548640,87369,39,5486439,872,97.60000000000001,32.0,752,1612808,1504
98,57.99694,-169.06572,2016,snow crab,-140139,6309,617220,29710,45,6172245,630,90.89999999999999,38.699999999999996,1458,1814409,1017
99,57.99755,-168.43323,2016,snow crab,-93000,6168,411480,10780,23,4114823,420,51.0,26.4,564,1209606,564
100,57.99946,-173.49525,2016,snow crab,-126408,10648,548640,248870,39,5486439,944,92.79999999999998,35.199999999999996,1296,1612808,1536
101,57.99987,-166.52522,2016,snow crab,-77650,8640,342900,1554,21,3429021,305,47.0,24.5,470,1008005,395
102,58.00109,-170.34214,2016,snow crab,-140283,10863,617220,85341,45,6172245,666,96.30000000000001,36.900000000000006,1458,1814409,1161
103,58.00123,-167.80014,2016,snow crab,-92994,4242,411480,13494,23,4114823,402,52.8,27.6,564,1209606,558
104,58.00335,-172.24499,2016,snow crab,-142173,12231,617220,3274,45,6172245,945,108.89999999999998,35.099999999999994,846,1814409,1683
105,58.00513,-171.59858,2016,snow crab,-124808,13128,548640,254207,39,5486439,784,89.60000000000001,27.199999999999996,1296,1612808,1064
106,58.32397,-173.57216,2016,snow crab,-126400,8472,548640,141444,39,5486439,928,90.39999999999999,32.800000000000004,1296,1612808,1528
107,58.32915,-169.11644,2016,snow crab,-124576,7464,548640,5159,38,5486438,544,83.2,33.6,1296,1612808,912
108,58.33023,-171.65099,2016,snow crab,-140634,6408,617220,8575,45,6172245,864,100.80000000000001,27.0,846,1814409,1143
109,58.33088,-169.73238,2016,snow crab,-93558,6024,411480,4094,23,4114823,414,62.4,24.6,564,1209606,708
110,58.33164,-168.47407,2016,snow crab,-92988,10404,411480,8501,23,4114823,390,52.8,27.0,564,1209606,552
111,58.33264,-167.83323,2016,snow crab,-123976,10640,548640,1888,38,5486438,480,67.2,38.4,752,1612808,728
112,58.33551,-172.93458,2016,snow crab,-94770,4470,411480,16454,23,4114823,654,69.6,21.6,564,1209606,1110
113,58.33555,-172.29895,2016,snow crab,-126368,8208,548640,623469,39,5486439,824,95.20000000000002,27.199999999999996,752,1612808,1488
114,58.33565,-167.19948,2016,snow crab,-77480,5085,342900,562,21,3429021,260,42.5,27.5,470,1008005,450
115,58.33568,-171.01122,2016,snow crab,-140427,9468,617220,79521,45,6172245,756,111.60000000000002,26.099999999999994,1458,1814409,1215
116,58.33739,-165.2815,2016,snow crab,-61408,5324,274320,308,20,2743220,180,29.2,26.8,376,806404,200
117,58.3404,-170.37384,2016,snow crab,-109102,6559,480060,38728,37,4800637,525,74.2,25.9,1134,1411207,896
118,58.34717,-166.55255,2016,snow crab,-46593,2118,205740,225,13,2057413,141,24.599999999999998,18.9,282,604803,240
119,58.65962,-169.14901,2016,snow crab,-77865,6015,342900,640,26,3429026,310,52.5,21.0,810,1008005,575
120,58.66212,-171.07645,2016,snow crab,-140436,11988,617220,1676355,45,6172245,747,112.5,21.599999999999998,1458,1814409,1224
121,58.6631,-173.00205,2016,snow crab,-126320,12336,548640,9210,39,5486439,896,94.39999999999999,26.400000000000002,752,1612808,1472
122,58.66509,-171.71947,2016,snow crab,-125016,7624,548640,4737,38,5486438,744,91.20000000000002,15.200000000000001,752,1612808,1024
123,58.66513,-175.55349,2016,snow crab,-142128,9279,617220,30035,45,6172245,1224,96.30000000000001,25.200000000000003,1458,1814409,1683
124,58.66552,-167.86848,2016,snow crab,-61976,6120,274320,312,20,2743220,184,30.0,22.8,376,806404,352
125,58.66553,-173.65063,2016,snow crab,-126184,11304,548640,39738,39,5486439,1008,92.0,31.199999999999996,752,1612808,1400
126,58.66742,-169.78327,2016,snow crab,-140346,11196,617220,3377,45,6172245,594,96.30000000000001,36.0,846,1814409,1071
127,58.6684,-174.27778,2016,snow crab,-31588,3222,137160,136,15,1371615,314,22.6,7.6,324,403202,378
128,58.66902,-168.49487,2016,snow crab,-30986,2476,137160,154,15,1371615,108,17.4,9.8,188,403202,174
129,58.67151,-172.36693,2016,snow crab,-126312,10064,548640,3550,38,5486438,816,95.20000000000002,24.800000000000004,752,1612808,1464
130,58.67375,-170.43121,2016,snow crab,-140265,6318,617220,37271,45,6172245,666,99.0,31.5,1458,1814409,1143
131,58.67643,-167.22426,2016,snow crab,-92970,4284,411480,546,23,4114823,258,46.2,37.8,564,1209606,534
132,58.68682,-174.91791,2016,snow crab,-126344,10632,548640,3536,38,5486438,1552,87.20000000000002,29.599999999999998,1296,1612808,1504
133,58.98865,-171.12197,2016,snow crab,-140445,14814,617220,123049,45,6172245,702,119.69999999999999,22.5,1458,1814409,1233
134,58.99287,-170.47975,2016,snow crab,-140256,14904,617220,49583,45,6172245,639,99.89999999999998,27.900000000000006,1458,1814409,1134
135,58.99711,-171.77962,2016,snow crab,-140652,11061,617220,14567,45,6172245,783,102.60000000000002,19.799999999999997,846,1814409,1161
136,58.99876,-173.06319,2016,snow crab,-142083,6543,617220,6859,45,6172245,963,106.19999999999999,27.0,846,1814409,1629
137,58.9998,-176.30352,2016,snow crab,-31566,1508,137160,134,15,1371615,270,21.4,5.4,324,403202,364
138,59.00073,-174.36199,2016,snow crab,-141948,9144,617220,22238,45,6172245,1143,101.69999999999999,29.700000000000003,846,1814409,1566
139,59.00193,-167.89584,2016,snow crab,-77675,8640,342900,365,30,3429030,210,35.5,29.5,470,1008005,420
140,59.00222,-172.43222,2016,snow crab,-94728,6036,411480,4411,33,4114833,588,67.2,11.4,564,1209606,1092
141,59.00275,-167.23351,2016,snow crab,-62136,5808,274320,300,20,2743220,160,31.6,26.4,376,806404,332
142,59.00303,-173.72244,2016,snow crab,-141966,15300,617220,23570,45,6172245,1053,104.39999999999998,29.700000000000003,846,1814409,1584
143,59.00568,-174.99776,2016,snow crab,-78855,3660,342900,1749,26,3429026,650,55.0,13.5,470,1008005,865
144,59.00662,-169.86056,2016,snow crab,-93498,8592,411480,1885,30,4114830,378,69.6,22.8,972,1209606,750
145,59.31265,-170.53396,2016,snow crab,-140454,6588,617220,68695,45,6172245,612,106.19999999999999,29.700000000000003,1458,1814409,1242
146,59.32693,-171.19103,2016,snow crab,-140679,6354,617220,71266,45,6172245,675,99.89999999999998,22.5,846,1814409,1188
147,59.32949,-172.49157,2016,snow crab,-142038,13743,617220,10074,45,6172245,783,103.5,17.1,846,1814409,1620
148,59.3301,-168.57732,2016,snow crab,-77460,3515,342900,518,26,3429026,210,35.0,27.0,470,1008005,425
149,59.33142,-175.10722,2016,snow crab,-126160,9928,548640,2277,40,5486440,1064,87.20000000000002,19.2,752,1612808,1376
150,59.33313,-176.38886,2016,snow crab,-78880,5115,342900,3145,26,3429026,685,54.0,10.5,810,1008005,895
151,59.33441,-174.43842,2016,snow crab,-78895,3600,342900,2082,26,3429026,605,56.5,14.5,470,1008005,885
152,59.33469,-173.79611,2016,snow crab,-126240,8024,548640,7969,38,5486438,888,92.79999999999998,22.400000000000002,752,1612808,1424
153,59.33518,-171.8213,2016,snow crab,-140661,13599,617220,137948,45,6172245,720,105.30000000000001,25.200000000000003,846,1814409,1170
154,59.33636,-173.14074,2016,snow crab,-142029,11196,617220,5558,45,6172245,900,104.39999999999998,17.1,846,1814409,1611
155,59.33697,-177.05253,2016,snow crab,-126200,5928,548640,3286,38,5486438,1200,84.8,16.0,1296,1612808,1424
156,59.33795,-167.91536,2016,snow crab,-30688,2682,137160,134,15,1371615,80,11.2,11.0,188,403202,84
157,59.34421,-169.23717,2016,snow crab,-46725,2109,205740,717,11,2057411,153,31.200000000000003,14.700000000000001,486,604803,351
158,59.49852,-173.50456,2016,snow crab,-93834,4242,411480,6696,30,4114830,612,68.4,13.2,564,1209606,852
159,59.50198,-172.8791,2016,snow crab,-140616,14751,617220,18274,45,6172245,846,105.30000000000001,12.600000000000001,846,1814409,1269
160,59.66007,-170.58561,2016,snow crab,-140463,9270,617220,147149,45,6172245,603,109.80000000000001,31.5,1458,1814409,1251
161,59.66041,-175.11577,2016,snow crab,-126496,12920,548640,298642,39,5486439,1000,92.0,20.0,752,1612808,1360
162,59.66249,-171.24466,2016,snow crab,-140688,8514,617220,30247,45,6172245,657,108.0,29.700000000000003,846,1814409,1197
163,59.66413,-171.90205,2016,snow crab,-140670,15741,617220,29416,45,6172245,702,105.30000000000001,23.400000000000002,846,1814409,1179
164,59.66611,-175.86818,2016,snow crab,-126488,10072,548640,4832,38,5486438,1096,87.20000000000002,12.799999999999999,752,1612808,1352
165,59.66667,-173.23944,2016,snow crab,-140760,8370,617220,8078,45,6172245,855,107.10000000000002,11.700000000000001,846,1814409,1287
166,59.66808,-174.46198,2016,snow crab,-126152,5864,548640,109631,39,5486439,920,95.20000000000002,20.8,752,1612808,1368
167,59.66935,-169.92074,2016,snow crab,-77905,4680,342900,1507,26,3429026,285,59.5,18.5,810,1008005,615
168,59.67099,-168.62089,2016,snow crab,-46026,2112,205740,597,11,2057411,117,12.0,9.899999999999999,282,604803,120
169,59.67519,-173.86403,2016,snow crab,-140823,13770,617220,12987,45,6172245,936,103.5,20.700000000000003,846,1814409,1350
170,59.69059,-177.148,2016,snow crab,-126144,13128,548640,1338,43,5486443,1304,86.39999999999999,16.8,1296,1612808,1416
171,59.82522,-172.93907,2016,snow crab,-140769,10287,617220,38757,45,6172245,729,109.80000000000001,10.799999999999999,846,1814409,1296
172,59.83263,-174.24263,2016,snow crab,-125184,14032,548640,8295,38,5486438,864,93.60000000000001,17.599999999999998,752,1612808,1208
173,59.83308,-173.58642,2016,snow crab,-125168,10000,548640,410926,39,5486439,760,88.79999999999998,9.6,752,1612808,1192
174,59.83639,-172.24832,2016,snow crab,-124976,9272,548640,5220,38,5486438,608,98.39999999999999,16.0,752,1612808,1112
175,59.947,-171.29901,2016,snow crab,-109438,8428,480060,2629,33,4800633,490,86.80000000000001,20.299999999999997,658,1411207,938
176,59.98936,-172.60247,2016,snow crab,-124968,7536,548640,3291,38,5486438,536,88.79999999999998,12.799999999999999,752,1612808,1104
177,59.99085,-171.94226,2016,snow crab,-78165,7285,342900,792,26,3429026,340,59.0,9.0,470,1008005,675
178,59.99506,-170.63368,2016,snow crab,-124864,10608,548640,214488,40,5486440,520,108.79999999999998,24.0,1296,1612808,1120
179,59.99712,-169.32701,2016,snow crab,-77885,5770,342900,1243,26,3429026,230,57.0,19.0,810,1008005,595
180,59.99884,-173.93573,2016,snow crab,-140958,6363,617220,2317,45,6172245,873,94.5,11.700000000000001,846,1814409,1368
181,59.99911,-175.92031,2016,snow crab,-142290,9117,617220,27654,45,6172245,1161,97.19999999999999,13.5,846,1814409,1512
182,60.00083,-175.28004,2016,snow crab,-142281,6525,617220,15774,45,6172245,1062,100.80000000000001,19.799999999999997,846,1814409,1503
183,60.00261,-174.61691,2016,snow crab,-126040,12352,548640,8307,39,5486439,864,91.20000000000002,13.599999999999998,752,1612808,1328
184,60.00277,-176.72375,2016,snow crab,-126128,8304,548640,2058,38,5486438,1136,85.60000000000001,12.799999999999999,1296,1612808,1400
185,60.00442,-177.21711,2016,snow crab,-31526,3200,137160,142,15,1371615,274,21.2,3.4,324,403202,344
186,60.0048,-177.87318,2016,snow crab,-78820,9255,342900,901,18,3429018,705,51.5,9.0,810,1008005,865
187,60.00524,-173.26903,2016,snow crab,-125160,7536,548640,30135,40,5486440,600,83.2,9.6,752,1612808,1184
188,60.00759,-169.96496,2016,snow crab,-77900,3525,342900,375,28,3429028,275,56.5,13.5,810,1008005,610
189,60.12076,-173.77576,2016,snow crab,-140796,6390,617220,183796,45,6172245,801,96.30000000000001,9.899999999999999,846,1814409,1323
190,60.16795,-174.35762,2016,snow crab,-140967,8406,617220,2111,45,6172245,900,91.80000000000001,12.600000000000001,846,1814409,1377
191,60.16958,-172.32835,2016,snow crab,-78100,3540,342900,525,26,3429026,290,55.0,7.5,470,1008005,685
192,60.17422,-173.00682,2016,snow crab,-109494,9926,480060,266142,33,4800633,420,87.5,9.8,658,1411207,1015
193,60.29165,-173.38087,2016,snow crab,-78215,8635,342900,4025,26,3429026,315,55.0,6.0,470,1008005,730
