,LATITUDE,LONGITUDE,SURVEY_YEAR,COMMON_NAME,HAULJOIN,START_HOUR,SPECIES_CODE,CPUE,MATURITY_CODE,SPCODE_MATURITY,BOTTOM_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,VESSEL,CRUISE,HAUL
0,55.0,-165.74834,1981,snow crab,42450,6500,342900,1584,21,3429021,650,31.0,24.5,185,990505,5
1,55.32967,-164.59017,1981,snow crab,51300,4200,411480,1848,23,4114823,612,33.0,25.2,222,1188606,366
2,55.33209,-166.95983,1981,snow crab,2640,3500,342900,2145,21,3429021,705,28.5,21.5,5,990515,30
3,55.33409,-165.16809,1981,snow crab,33976,5200,274320,739,20,2743220,440,23.2,15.6,148,792404,20
4,55.33734,-165.79625,1981,snow crab,33964,6400,274320,1300,20,2743220,476,23.6,18.4,148,792404,8
5,55.34167,-166.39925,1981,snow crab,2108,6000,274320,280,20,2743220,540,23.2,17.2,4,792412,20
6,55.35384,-163.4415,1981,snow crab,34192,5200,274320,340,20,2743220,212,36.0,20.0,148,792404,236
7,55.66434,-163.98425,1981,snow crab,50976,4200,411480,3559,23,4114823,570,33.0,20.4,222,1188606,42
8,55.66517,-164.58775,1981,snow crab,67960,13600,548640,2737,39,5486439,776,47.199999999999996,28.800000000000004,296,1584808,48
9,55.66917,-163.3945,1981,snow crab,42735,5000,342900,2413,21,3429021,410,41.0,19.0,185,990505,290
10,55.66942,-166.99359,1981,snow crab,2124,6000,274320,304,20,2743220,536,23.2,17.2,4,792412,36
11,55.67017,-165.17334,1981,snow crab,50958,6000,411480,3388,23,4114823,660,34.2,24.0,222,1188606,24
12,55.67408,-167.58342,1981,snow crab,2120,4800,274320,256,20,2743220,540,23.6,17.2,4,792412,32
13,55.67684,-166.33117,1981,snow crab,2128,2400,274320,276,20,2743220,504,22.4,17.2,4,792412,40
14,55.99775,-165.18392,1981,snow crab,51012,7800,411480,3313,23,4114823,582,38.4,22.2,222,1188606,78
15,55.99834,-164.59483,1981,snow crab,42495,8000,342900,1605,21,3429021,465,31.0,17.0,185,990505,50
16,56.00184,-166.40967,1981,snow crab,3198,5400,411480,1095,23,4114823,744,35.4,25.8,6,1188618,66
17,56.002,-165.79108,1981,snow crab,42515,8000,342900,4246,21,3429021,530,31.0,19.0,185,990505,70
18,56.00375,-163.98675,1981,snow crab,50988,8400,411480,3977,23,4114823,546,39.0,21.0,222,1188606,54
19,56.00442,-163.40142,1981,snow crab,33988,4000,274320,800,20,2743220,360,23.2,14.4,148,792404,32
20,56.00775,-167.00342,1981,snow crab,69000,8800,548640,2144,39,5486439,1096,72.8,34.4,296,1584808,1088
21,56.01417,-167.62392,1981,snow crab,43210,6500,342900,775,21,3429021,715,48.5,21.0,185,990505,765
22,56.32425,-168.23084,1981,snow crab,2870,4500,342900,1859,29,3429029,770,35.5,20.5,5,990515,260
23,56.32992,-170.0805,1981,snow crab,1944,2700,205740,225,15,2057415,339,23.4,12.600000000000001,3,594309,378
24,56.33017,-167.65242,1981,snow crab,77769,9000,617220,5328,45,6172245,1188,87.30000000000001,38.699999999999996,333,1782909,1368
25,56.33334,-162.79875,1981,snow crab,25632,3900,205740,306,15,2057415,237,23.700000000000003,12.299999999999999,111,594303,165
26,56.334,-163.38792,1981,snow crab,51258,6000,411480,1183,23,4114823,516,46.2,21.0,222,1188606,324
27,56.33492,-164.58409,1981,snow crab,51000,4200,411480,5194,23,4114823,516,33.6,19.8,222,1188606,66
28,56.33584,-165.8055,1981,snow crab,3204,8400,411480,5374,23,4114823,546,35.4,26.4,6,1188618,72
29,56.33617,-165.19767,1981,snow crab,51006,6000,411480,5793,23,4114823,528,34.8,19.2,222,1188606,72
30,56.33617,-163.92342,1981,snow crab,51252,4200,411480,1588,23,4114823,528,45.6,19.8,222,1188606,318
31,56.34109,-167.02759,1981,snow crab,51756,8400,411480,6087,23,4114823,690,54.0,28.2,222,1188606,822
32,56.34358,-166.42508,1981,snow crab,51324,4800,411480,12263,23,4114823,636,50.4,27.0,222,1188606,390
33,56.64258,-168.9125,1981,snow crab,5208,4800,548640,415840,39,5486439,816,67.2,31.199999999999996,8,1584824,1032
34,56.65284,-168.28984,1981,snow crab,4584,5600,548640,65391,39,5486439,880,56.800000000000004,36.0,8,1584824,408
35,56.6595,-162.80442,1981,snow crab,51222,7200,411480,1715,23,4114823,438,46.8,24.0,222,1188606,288
36,56.66075,-165.22042,1981,snow crab,51246,7800,411480,7664,23,4114823,462,44.4,21.0,222,1188606,312
37,56.66117,-167.66667,1981,snow crab,77760,6300,617220,69906,45,6172245,918,83.69999999999999,36.900000000000006,333,1782909,1359
38,56.66192,-163.39717,1981,snow crab,51228,9000,411480,1383,23,4114823,450,48.0,24.0,222,1188606,294
39,56.66334,-169.5035,1981,snow crab,2600,6000,274320,1704,15,2743215,320,33.2,17.2,4,792412,512
40,56.66617,-171.35142,1981,snow crab,3150,6000,342900,350,29,3429029,615,37.0,21.0,5,990515,540
41,56.66892,-161.60642,1981,snow crab,51198,4200,411480,1040,23,4114823,540,44.4,19.8,222,1188606,264
42,56.67017,-170.14084,1981,snow crab,3894,7200,411480,13075,23,4114823,606,47.4,29.4,6,1188618,762
43,56.67117,-167.06675,1981,snow crab,69016,12800,548640,211339,39,5486439,776,68.8,32.0,296,1584808,1104
44,56.67175,-164.008,1981,snow crab,51234,4200,411480,2303,23,4114823,462,42.6,21.6,222,1188606,300
45,56.67517,-164.60417,1981,snow crab,34160,4000,274320,408,20,2743220,308,29.6,16.4,148,792404,204
46,56.69092,-160.98925,1981,snow crab,34116,2800,274320,344,20,2743220,280,29.6,17.2,148,792404,160
47,56.69475,-165.88059,1981,snow crab,68032,5600,548640,5112,39,5486439,616,44.0,28.0,296,1584808,120
48,56.70117,-166.43934,1981,snow crab,51330,6600,411480,4935,23,4114823,492,56.4,20.4,222,1188606,396
49,56.82933,-169.28184,1981,snow crab,68984,9600,548640,256059,39,5486439,656,68.0,34.4,296,1584808,1072
50,56.82959,-168.60809,1981,snow crab,68992,12800,548640,425625,39,5486439,792,73.60000000000001,30.400000000000002,296,1584808,1080
51,56.835,-169.87384,1981,snow crab,68976,8000,548640,61734,39,5486439,584,55.199999999999996,46.39999999999999,296,1584808,1064
52,56.83575,-170.49259,1981,snow crab,43075,5500,342900,21048,21,3429021,510,38.0,21.0,185,990505,630
53,56.986,-172.03275,1981,snow crab,5024,4800,548640,2686,39,5486439,968,56.800000000000004,31.199999999999996,8,1584824,848
54,56.99242,-164.03634,1981,snow crab,59682,4200,480060,2819,34,4800634,476,47.599999999999994,24.5,259,1386707,259
55,56.9925,-171.38559,1981,snow crab,5048,12800,548640,20647,39,5486439,896,63.199999999999996,32.800000000000004,8,1584824,872
56,56.99342,-172.6605,1981,snow crab,5728,7200,548640,72109,39,5486439,992,75.2,32.800000000000004,8,1584824,1552
57,56.99417,-164.59,1981,snow crab,51150,9000,411480,1078,23,4114823,426,42.6,19.8,222,1188606,216
58,56.99459,-170.78783,1981,snow crab,5160,12000,548640,5111,39,5486439,776,63.199999999999996,33.6,8,1584824,984
59,56.99584,-170.1625,1981,snow crab,5128,11200,548640,102349,39,5486439,568,51.199999999999996,37.6,8,1584824,952
